% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 36.14    0.024513          42       582           munmap
 35.83    0.024308         934        26           read
 15.07    0.010226        1704         6           write
 10.76    0.007301           4      1581           brk
  1.45    0.000984           1       608           mmap
  0.25    0.000168           3        47           mremap
  0.13    0.000090           1        66           rt_sigaction
  0.07    0.000045           7         6           mprotect
  0.06    0.000044           1        26           close
  0.05    0.000034           1        31         5 openat
  0.05    0.000032           0        66        19 newfstatat
  0.04    0.000027           0        39           fstat
  0.02    0.000012           0        16           getdents64
  0.01    0.000010           0        30         2 lseek
  0.01    0.000006           0        17        12 ioctl
  0.01    0.000006           3         2           pread64
  0.01    0.000006           3         2           getrandom
  0.01    0.000005           1         3           getcwd
  0.00    0.000003           3         1           arch_prctl
  0.00    0.000003           3         1           gettid
  0.00    0.000003           3         1           futex
  0.00    0.000003           3         1           prlimit64
  0.00    0.000003           3         1           rseq
  0.00    0.000002           2         1           set_tid_address
  0.00    0.000002           2         1           set_robust_list
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         4           fcntl
  0.00    0.000000           0         4         3 readlink
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
------ ----------- ----------- --------- --------- ----------------
100.00    0.067836          21      3175        42 total
