% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 50.39    0.025337        6334         4           read
 27.54    0.013847        1384        10           write
 21.75    0.010938        2734         4           munmap
  0.24    0.000123          24         5           openat
  0.03    0.000016           1        15           mmap
  0.02    0.000012           2         6           fstat
  0.01    0.000007           1         5           close
  0.00    0.000000           0         4           mprotect
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.050280         761        66         1 total
